GEOID,food_insecurity_rate,food_insecure_count
47015960100,15.91883762362731,686
47015960201,20.37563762362731,511
47015960202,14.613437623627313,634
47015960300,18.03383762362731,632
47021070102,11.293015597590363,494
47021070103,19.038315597590362,726
47021070104,16.124215597590364,945
47021070201,7.469015597590362,369
47021070202,12.628415597590362,697
47021070203,9.50941559759036,367
47021070300,18.69881559759036,732
47021070401,11.406315597590362,308
47021070402,9.059815597590362,589
47037010103,9.749238799127994,238
47037010104,11.146638799127992,310
47037010105,14.910038799127992,780
47037010106,6.890538799127992,183
47037010201,10.595238799127992,465
47037010202,10.24933879912799,419
47037010301,21.126438799127992,934
47037010302,19.588538799127992,381
47037010303,17.46463879912799,856
47037010401,21.734538799127996,1088
47037010403,33.43833879912799,1458
47037010404,17.359738799127992,477
47037010501,16.08123879912799,928
47037010502,9.555638799127992,467
47037010601,15.659238799127992,829
47037010602,15.154538799127993,551
47037010701,16.96703879912799,702
47037010702,27.17323879912799,1003
47037010801,15.653438799127992,785
47037010802,23.841238799127993,824
47037010901,15.61113879912799,556
47037010903,26.224538799127995,1880
47037010904,24.56733879912799,697
47037011001,19.243238799127994,1386
47037011002,14.804838799127992,390
47037011100,10.43173879912799,434
47037011200,12.605638799127991,567
47037011300,13.836338799127992,812
47037011400,12.042238799127993,655
47037011500,8.925738799127993,320
47037011600,6.086738799127993,298
47037011700,11.019538799127993,675
47037011800,15.858638799127991,429
47037011900,22.31063879912799,676
47037012100,5.014538799127992,148
47037012200,6.953538799127991,151
47037012600,15.810838799127994,266
47037012701,24.936138799127995,1510
47037012702,21.72953879912799,640
47037012801,24.39163879912799,1332
47037012802,16.615338799127993,621
47037013001,11.635438799127993,57
47037013100,6.783238799127991,147
47037013201,18.853438799127993,533
47037013202,8.846638799127993,310
47037013300,12.387338799127988,667
47037013400,4.008838799127991,182
47037013500,8.226038799127991,186
47037013600,21.74673879912799,1209
47037013701,22.746238799127994,740
47037013702,24.40443879912799,883
47037013800,27.890238799127992,504
47037013900,17.75403879912799,296
47037014200,38.917338799128,926
47037014300,19.56623879912799,317
47037014400,23.658138799127993,674
47037014800,61.29663879912799,937
47037015100,15.396238799127993,604
47037015200,16.749738799127993,389
47037015300,8.293938799127993,498
47037015401,10.736838799127993,657
47037015402,12.09863879912799,609
47037015404,19.565738799127992,499
47037015405,17.867138799127993,788
47037015501,15.497538799127991,580
47037015502,18.272038799127994,761
47037015609,15.04453879912799,678
47037015613,19.15603879912799,961
47037015614,23.976738799127993,974
47037015615,22.161438799127993,1432
47037015617,7.081738799127992,186
47037015618,15.788438799127992,1135
47037015619,14.937238799127991,816
47037015620,18.33263879912799,1286
47037015622,3.377338799127991,117
47037015623,16.925938799127994,983
47037015624,14.717438799127994,659
47037015625,11.250838799127994,665
47037015626,20.89423879912799,1448
47037015627,16.775938799127992,690
47037015628,21.826138799127992,1004
47037015629,17.03953879912799,1042
47037015630,13.07993879912799,766
47037015632,25.546938799127993,941
47037015633,3.2199387991279913,146
47037015634,15.076038799127991,1978
47037015635,8.33303879912799,265
47037015636,9.704838799127993,356
47037015637,19.606238799127993,672
47037015700,10.636138799127991,173
47037015804,27.251238799127993,1423
47037015805,17.61693879912799,526
