GEOID,DIABETES,BPHIGH,OBESITY
47015960100,14.8,42.0,43.2
47015960201,14.8,41.7,42.6
47015960202,14.3,41.6,42.7
47015960300,14.8,42.0,43.5
47021070102,14.1,41.4,40.5
47021070103,15.1,41.9,42.7
47021070104,13.4,39.9,40.2
47021070201,10.2,33.9,37.4
47021070202,12.1,37.4,39.7
47021070203,11.7,37.1,38.2
47021070300,13.3,39.2,41.3
47021070401,12.8,39.8,39.0
47021070402,12.0,38.1,38.4
47037010103,12.5,38.2,30.0
47037010104,12.1,37.5,29.8
47037010105,20.5,50.2,39.8
47037010106,13.2,38.9,35.6
47037010201,14.1,39.8,34.0
47037010202,13.6,39.9,31.4
47037010301,15.9,42.4,36.2
47037010302,14.6,38.7,36.6
47037010303,11.8,34.3,33.7
47037010401,14.2,38.1,36.9
47037010403,19.7,45.1,44.5
47037010404,12.7,34.3,35.9
47037010501,11.7,36.0,30.7
47037010502,11.4,34.9,31.2
47037010601,15.0,39.5,36.8
47037010602,15.4,39.1,38.2
47037010701,14.2,37.2,37.6
47037010702,19.0,43.5,39.8
47037010801,13.9,37.9,36.0
47037010802,16.3,43.0,34.8
47037010901,14.5,39.5,35.6
47037010903,18.9,45.1,45.2
47037010904,22.3,49.9,45.9
47037011001,15.6,38.7,38.6
47037011002,11.7,34.7,34.7
47037011100,8.9,30.4,28.5
47037011200,7.3,26.1,29.2
47037011300,11.2,31.8,36.3
47037011400,7.8,26.6,29.9
47037011500,8.0,28.1,28.2
47037011600,7.9,27.7,28.4
47037011700,7.0,25.0,29.4
47037011800,10.5,32.2,35.4
47037011900,10.5,30.9,36.9
47037012100,6.5,24.9,26.9
47037012200,6.7,25.2,27.6
47037012600,10.6,32.3,35.2
47037012701,22.2,50.3,45.4
47037012702,16.7,43.5,39.4
47037012801,23.0,51.6,43.8
47037012802,16.8,43.1,39.2
47037013001,2.9,14.6,25.3
47037013002,13.2,40.4,39.7
47037013100,12.3,37.5,30.8
47037013201,12.7,35.3,30.3
47037013202,6.7,23.8,27.3
47037013300,6.0,22.1,29.4
47037013400,6.1,23.8,26.0
47037013500,5.1,20.5,26.0
47037013600,10.1,29.6,34.9
47037013701,14.2,39.0,37.6
47037013702,11.3,32.9,34.7
47037013800,21.7,49.5,45.6
47037013900,14.5,39.4,38.4
47037014200,12.8,35.0,41.2
47037014300,15.3,40.7,38.9
47037014400,7.2,24.7,31.6
47037014800,25.1,52.7,57.8
47037015100,10.6,32.6,30.1
47037015200,10.8,33.9,30.6
47037015300,10.5,34.4,28.9
47037015401,12.8,38.4,30.2
47037015402,10.6,33.0,31.1
47037015404,13.8,39.7,31.3
47037015405,11.4,34.4,33.2
47037015501,9.6,31.0,30.0
47037015502,9.9,31.5,30.8
47037015609,7.8,26.5,28.9
47037015613,13.2,34.8,37.7
47037015614,13.5,34.8,36.8
47037015615,16.5,36.7,39.7
47037015617,14.6,40.5,34.6
47037015618,14.0,37.2,35.9
47037015619,14.7,39.1,36.6
47037015620,14.5,37.4,37.6
47037015622,9.3,30.8,28.7
47037015623,11.8,35.0,34.2
47037015624,8.8,28.9,31.2
47037015625,9.7,31.0,31.6
47037015626,12.1,34.0,37.2
47037015627,12.7,33.4,34.4
47037015628,12.9,35.4,39.4
47037015629,10.0,30.5,35.6
47037015630,10.0,31.0,35.1
47037015632,9.4,29.7,33.1
47037015633,10.7,35.0,28.5
47037015634,12.9,34.9,37.8
47037015635,11.2,34.1,33.0
47037015636,9.4,29.6,31.4
47037015637,11.8,34.3,36.8
47037015700,12.4,34.2,33.1
47037015804,12.8,34.9,39.5
47037015805,10.8,29.6,32.2
47037015806,13.9,34.3,38.0
47037015900,14.8,36.7,34.5
47037016000,17.5,42.8,43.8
47037016100,10.1,30.3,33.8
47037016200,17.3,41.6,38.5
47037016300,8.4,27.0,30.8
47037016400,4.5,17.4,23.0
47037016500,2.3,12.6,21.4
47037016600,7.8,25.0,28.3
47037016700,8.7,31.0,25.1
47037016800,5.4,20.7,23.8
47037016900,6.8,25.4,25.0
47037017000,4.7,17.7,23.2
47037017100,4.5,18.7,25.1
47037017200,6.7,23.8,28.7
47037017300,11.6,30.7,33.0
47037017401,10.7,29.9,32.2
47037017402,8.8,26.8,31.8
47037017500,12.0,33.1,33.8
47037017701,8.0,29.7,25.6
47037017702,5.8,22.0,22.1
47037017800,6.3,23.7,24.6
47037017901,11.6,36.7,28.0
47037017902,9.3,34.1,23.6
47037018000,8.9,32.1,24.7
47037018101,9.7,28.6,32.5
47037018102,10.7,36.3,26.0
47037018201,8.5,31.1,24.8
47037018203,8.7,32.0,24.6
47037018204,9.3,29.1,32.1
47037018205,7.2,26.2,26.0
47037018302,9.3,31.4,28.1
47037018303,7.7,25.7,28.6
47037018304,9.0,31.1,25.7
47037018404,8.4,29.5,26.2
47037018405,10.4,34.5,27.4
47037018407,8.7,30.2,26.6
47037018408,9.5,32.1,26.3
47037018409,11.9,38.8,26.5
47037018410,8.6,29.2,27.6
47037018411,7.7,26.4,28.4
47037018412,9.4,30.6,29.5
47037018500,8.9,32.8,24.9
47037018601,9.9,34.7,25.6
47037018602,10.0,34.8,25.8
47037018700,9.1,33.2,24.6
47037018801,7.7,28.1,25.2
47037018803,8.4,28.9,26.0
47037018804,9.5,32.6,25.3
47037018901,11.4,32.4,33.6
47037018902,8.1,28.2,27.5
47037018904,10.7,30.3,33.2
47037018905,8.7,26.1,30.2
47037019003,14.6,34.7,38.7
47037019004,15.8,36.0,38.9
47037019007,13.8,35.3,32.9
47037019008,14.4,35.0,36.7
47037019105,12.8,34.2,34.5
47037019106,7.3,25.1,27.2
47037019108,12.8,31.4,37.3
47037019109,14.4,34.6,35.3
47037019110,13.5,34.4,35.1
47037019111,10.7,30.1,34.3
47037019112,10.9,30.7,32.3
47037019115,9.6,32.0,26.6
47037019116,9.0,29.2,29.9
47037019117,11.0,32.5,32.9
47037019118,8.9,27.5,32.6
47037019119,8.7,29.6,28.4
47037019120,8.4,27.8,29.8
47037019121,9.0,28.7,29.5
47037019200,8.3,28.1,31.3
47037019300,17.7,42.6,46.3
47037019401,7.7,26.0,30.5
47037019402,4.2,18.4,25.9
47037019501,3.5,16.0,24.9
47037019502,5.6,21.4,27.2
47037019503,6.3,24.2,27.5
47037019600,11.0,32.6,33.7
47043060100,14.4,40.8,38.7
47043060201,13.8,39.6,39.1
47043060202,11.7,36.0,36.6
47043060300,13.1,38.2,38.3
47043060401,12.0,37.7,34.9
47043060402,11.3,35.6,35.8
47043060501,12.1,37.3,35.3
47043060502,16.0,42.9,38.8
47043060601,14.3,39.3,40.7
47043060602,12.4,36.3,38.0
47043060700,13.4,39.3,37.7
47081950100,13.5,40.4,37.5
47081950201,13.7,40.3,38.1
47081950202,14.1,40.5,39.4
47081950301,14.6,43.8,37.0
47081950302,15.5,43.8,38.6
47081950400,14.4,42.3,37.5
47081950500,13.6,41.0,41.1
47111970100,18.0,44.6,45.8
47111970200,13.6,38.2,42.1
47111970301,15.3,40.1,43.5
47111970302,12.8,36.8,40.5
47111970400,14.5,39.1,43.4
47119010100,12.6,40.0,34.1
47119010201,10.8,36.5,32.4
47119010203,11.4,38.4,31.6
47119010204,7.8,29.1,31.6
47119010205,13.2,39.5,37.1
47119010301,11.7,37.8,33.6
47119010302,11.8,38.6,32.8
47119010401,13.1,39.5,36.1
47119010402,13.7,40.4,37.5
47119010500,19.9,48.5,45.5
47119010600,14.1,40.3,39.0
47119010700,15.5,42.3,39.5
47119010801,12.5,40.6,31.9
47119010802,12.9,38.7,36.8
47119010900,15.4,44.0,38.1
47119011001,15.9,44.7,38.4
47119011003,13.7,41.2,36.9
47119011004,14.9,42.8,37.6
47119011101,13.1,42.1,32.0
47119011102,12.2,38.9,33.3
47119011200,12.7,39.8,34.5
47147080101,12.4,38.3,36.2
47147080103,10.7,34.9,35.0
47147080104,12.6,38.4,36.3
47147080200,12.5,38.2,36.4
47147080301,16.2,42.0,42.1
47147080302,17.1,43.2,44.3
47147080401,15.5,40.3,42.9
47147080402,16.5,43.1,40.9
47147080500,12.8,39.1,36.3
47147080603,12.7,39.1,35.8
47147080604,12.3,38.6,35.3
47147080605,11.6,36.8,35.4
47147080606,11.4,36.6,34.9
47147080701,12.1,38.0,35.2
47147080702,11.4,37.2,34.0
47149040101,12.5,34.4,42.9
47149040102,11.2,33.4,40.9
47149040104,12.9,36.6,43.3
47149040105,12.6,35.6,42.3
47149040106,11.4,33.7,43.0
47149040107,11.3,33.4,42.4
47149040200,13.5,37.9,41.7
47149040303,13.2,38.2,41.3
47149040304,13.7,38.9,42.2
47149040305,15.1,40.2,42.8
47149040307,11.2,36.0,35.7
47149040308,11.3,34.7,38.9
47149040309,10.9,34.7,37.7
47149040310,13.4,38.1,41.2
47149040311,14.6,40.9,40.0
47149040312,8.6,27.5,38.1
47149040404,13.4,38.1,39.3
47149040405,12.5,35.2,42.1
47149040501,9.9,33.3,36.8
47149040502,10.6,34.7,36.8
47149040600,13.9,40.6,39.9
47149040702,9.9,33.1,36.9
47149040703,9.3,31.3,37.7
47149040704,9.1,31.6,36.1
47149040806,11.7,36.0,37.4
47149040807,9.4,32.0,36.6
47149040808,9.1,31.4,35.3
47149040809,10.7,34.7,38.0
47149040810,10.3,35.0,35.2
47149040811,10.1,33.3,35.7
47149040812,10.8,33.3,38.0
47149040901,9.0,29.6,36.4
47149040904,11.5,36.1,36.9
47149040906,8.8,29.5,36.4
47149040907,8.3,29.3,34.3
47149040908,9.8,31.9,38.3
47149040909,8.4,29.1,37.4
47149040910,10.2,33.0,37.4
47149040911,9.9,33.6,35.0
47149041000,10.9,35.4,36.9
47149041102,13.5,40.0,38.8
47149041103,10.4,34.6,35.7
47149041104,12.1,38.6,35.9
47149041201,10.4,34.7,35.4
47149041202,11.0,34.9,35.6
47149041301,10.6,36.5,32.4
47149041302,11.4,38.5,34.0
47149041401,12.8,38.0,38.9
47149041404,11.6,34.5,43.0
47149041405,8.3,27.9,38.0
47149041406,8.9,29.8,37.3
47149041407,8.5,28.5,34.9
47149041500,1.8,13.7,29.5
47149041601,11.5,34.2,41.5
47149041602,13.4,39.6,39.6
47149041700,12.6,37.8,39.6
47149041800,9.9,32.2,39.8
47149041900,14.4,38.4,45.0
47149042000,13.9,39.4,40.3
47149042101,11.3,32.3,42.1
47149042102,10.6,31.5,40.2
47149042200,12.9,37.6,38.4
47149042301,11.9,34.1,40.4
47149042302,8.9,30.2,37.7
47159975000,12.4,37.6,37.7
47159975100,13.0,38.7,37.4
47159975200,15.0,41.0,41.1
47159975300,15.0,41.7,40.7
47159975400,12.6,37.8,37.9
47165020101,14.6,40.3,44.2
47165020102,14.4,40.3,43.9
47165020203,12.6,37.5,42.1
47165020204,10.6,34.2,40.3
47165020205,10.4,33.0,41.8
47165020206,12.6,37.5,41.8
47165020207,15.5,42.0,44.8
47165020208,13.1,38.8,41.1
47165020209,13.3,39.7,40.7
47165020300,15.1,39.9,47.0
47165020403,13.5,39.7,41.7
47165020404,12.3,38.1,39.8
47165020405,11.9,36.8,39.9
47165020406,10.3,33.9,38.9
47165020407,10.3,33.4,39.0
47165020501,11.3,35.7,37.1
47165020502,9.7,32.6,38.0
47165020503,14.0,41.2,40.9
47165020601,14.5,42.0,41.8
47165020602,12.5,38.1,41.0
47165020603,13.4,40.0,40.9
47165020700,15.3,41.6,44.2
47165020800,20.3,45.8,54.0
47165020901,14.1,40.1,42.4
47165020903,13.4,40.3,39.9
47165020904,13.4,37.3,45.2
47165020905,12.3,36.4,43.0
47165021002,10.4,33.9,37.2
47165021004,12.3,35.7,43.3
47165021005,12.6,38.5,39.6
47165021006,12.0,37.1,40.3
47165021007,8.9,30.7,38.0
47165021008,8.7,30.3,36.5
47165021009,10.5,33.8,38.4
47165021103,11.8,36.4,40.3
47165021104,12.1,36.4,41.2
47165021105,9.3,30.6,39.7
47165021106,11.7,37.3,38.0
47165021107,11.4,35.6,40.1
47165021201,10.4,35.6,35.9
47165021203,10.8,35.1,37.3
47165021204,11.4,36.4,38.6
47165021205,13.9,43.2,37.3
47169090100,12.2,38.1,39.8
47169090200,15.3,41.8,42.0
47187050102,8.5,31.0,29.4
47187050103,10.5,36.5,30.7
47187050104,9.9,33.4,28.7
47187050105,7.8,29.9,28.7
47187050204,9.3,32.8,28.0
47187050205,10.4,37.1,28.5
47187050206,9.6,34.5,27.3
47187050207,9.2,33.0,27.0
47187050209,9.9,34.9,28.1
47187050210,11.7,41.8,26.8
47187050211,7.9,28.4,25.2
47187050212,9.9,35.0,28.2
47187050303,10.3,38.0,27.7
