GEOID,DIABETES,BPHIGH,OBESITY
00000037010,11.0,35.6,35.4
00000037012,16.7,45.0,40.9
00000037013,12.2,33.4,35.6
00000037014,10.9,37.2,31.9
00000037015,13.1,39.3,39.9
00000037016,13.4,39.8,39.7
00000037018,14.8,43.5,40.0
00000037020,11.6,36.9,40.4
00000037022,13.7,39.4,42.1
00000037025,13.2,39.3,37.6
00000037026,14.3,41.0,43.3
00000037027,9.6,33.9,27.4
00000037029,11.7,36.7,35.4
00000037030,13.8,39.7,39.0
00000037031,12.7,38.6,40.5
00000037032,11.8,37.0,36.0
00000037033,15.0,43.4,37.8
00000037034,11.4,36.3,38.7
00000037035,12.0,37.5,38.9
00000037036,12.7,37.7,38.1
00000037037,10.2,33.7,36.8
00000037043,11.0,35.6,36.0
00000037046,11.4,38.6,31.5
00000037048,12.7,38.8,40.0
00000037049,12.5,38.4,36.2
00000037051,14.3,41.0,38.6
00000037052,14.0,41.4,38.9
00000037055,13.1,38.3,37.6
00000037057,12.8,37.2,39.4
00000037060,10.5,35.5,35.7
00000037062,11.3,37.0,33.3
00000037064,10.7,36.3,30.6
00000037066,13.2,38.3,41.7
00000037067,8.8,31.8,27.8
00000037069,9.7,35.1,28.6
00000037072,12.9,37.8,36.2
00000037073,11.7,37.3,35.3
00000037074,13.0,39.0,40.8
00000037075,10.7,34.7,38.5
00000037076,10.6,33.2,31.1
00000037078,16.2,45.6,40.4
00000037080,13.6,40.1,35.1
00000037082,12.1,38.4,38.5
00000037083,14.4,39.1,42.5
00000037085,10.9,35.4,36.1
00000037086,12.1,34.9,41.7
00000037087,12.4,37.3,32.9
00000037090,12.2,37.2,32.0
00000037091,14.7,41.4,40.9
00000037095,16.5,44.5,41.9
00000037096,16.9,45.7,39.9
00000037097,16.6,44.4,40.1
00000037098,13.7,40.4,38.3
00000037101,14.4,41.5,40.1
00000037110,16.1,43.0,42.5
00000037115,15.3,39.5,37.6
00000037118,12.0,38.0,35.7
00000037122,10.5,34.5,30.0
00000037127,11.1,34.8,37.3
00000037128,9.4,31.5,36.6
00000037129,10.4,34.0,36.5
00000037130,11.4,34.6,39.2
00000037132,1.8,13.6,29.4
00000037135,8.9,31.8,29.7
00000037137,14.6,41.9,38.8
00000037138,11.7,36.4,30.5
00000037140,12.1,39.0,42.5
00000037141,11.5,36.6,36.2
00000037143,12.1,38.0,37.6
00000037145,13.4,38.8,38.8
00000037146,10.7,35.0,37.1
00000037148,13.0,37.8,42.6
00000037149,14.6,41.7,41.2
00000037150,17.3,44.3,43.9
00000037151,13.1,39.4,38.4
00000037153,10.7,35.2,36.9
00000037160,14.5,40.4,45.4
00000037165,15.3,42.5,36.6
00000037166,15.5,42.9,40.0
00000037167,12.1,35.9,39.0
00000037171,13.0,38.8,39.6
00000037172,14.6,40.6,39.3
00000037174,9.5,33.0,32.2
00000037179,9.2,32.9,31.0
00000037180,11.6,36.9,41.4
00000037181,14.1,40.6,38.5
00000037184,12.4,37.7,32.8
00000037186,14.3,39.6,43.6
00000037187,13.2,38.4,38.3
00000037188,10.6,34.3,37.0
00000037189,13.9,39.6,33.8
00000037190,14.7,42.0,42.8
00000037201,6.7,25.5,29.3
00000037203,7.6,24.7,29.7
00000037204,6.4,23.2,25.5
00000037205,9.4,33.1,25.2
00000037206,8.8,28.4,31.6
00000037207,16.2,41.1,40.0
00000037208,10.4,30.7,34.3
00000037209,8.3,26.8,29.8
00000037210,12.8,33.9,35.3
00000037211,11.0,30.9,32.6
00000037212,4.7,18.4,22.9
00000037213,12.4,36.7,43.6
00000037214,10.0,31.9,30.4
00000037215,9.5,32.9,25.5
00000037216,8.5,28.8,29.7
00000037217,12.6,34.3,35.9
00000037218,19.4,47.3,39.9
00000037219,6.7,24.6,26.5
00000037220,8.6,31.5,25.4
00000037221,9.5,32.0,27.7
00000037228,10.7,31.3,33.0
00000037357,15.3,42.5,41.5
00000038401,13.5,40.4,36.1
00000038451,12.8,40.1,35.1
00000038454,14.7,43.5,37.5
00000038461,15.2,42.8,38.0
00000038462,15.1,42.4,39.4
00000038472,16.2,44.3,40.8
00000038474,14.5,42.3,37.4
00000038476,13.4,41.1,34.1
00000038482,12.4,39.6,34.0
00000038483,13.8,40.4,40.0
00000038487,14.0,42.3,36.6
00000038547,12.3,36.8,38.2
00000038548,15.0,42.1,39.6
00000038552,16.1,43.9,39.9
00000038560,14.4,40.6,40.6
00000038562,17.0,44.7,39.8
00000038563,13.7,39.3,39.6
00000038564,18.2,48.4,39.1
00000038567,14.1,41.3,38.7
00000038569,16.6,45.0,39.9
00000038582,16.8,47.1,39.6
00000038588,20.0,49.0,42.5
